Date,Distance walking / running(mi),Distance walking / running(mi) MOVING AVERAGE
2020-11-21,1.023,1.023
2020-11-22,1.202,1.1172105263157894
2020-11-23,2.455,1.610859778597786
2020-11-24,1.165,1.4812116894446061
2020-11-25,2.444,1.7163190886669435
2020-11-26,1.439,1.6571335669574163
2020-11-27,0.788,1.4905381284872565
2020-11-28,0.383,1.2960737977351577
2020-11-29,2.036,1.416862395619693
2020-11-30,3.457,1.7300928688583708
2020-12-01,0.92,1.6120361247229538
2020-12-02,1.151,1.5477865285979948
2020-12-03,0.905,1.4616005585145444
2020-12-04,0.945,1.3946167575344237
2020-12-05,0.399,1.269241409421186
2020-12-06,1.535,1.3018619137969492
2020-12-07,2.605,1.4582582182889487
2020-12-08,0.544,1.350686451330114
2020-12-09,0.418,1.2428508100755997
2020-12-10,0.554,1.1644318092970483
2020-12-11,0.493,1.0890392508320668
2020-12-12,0.662,1.0416705987214399
2020-12-13,0.877,1.0236021427800324
2020-12-14,0.905,1.0107138774165534
2020-12-15,0.842,0.9925376197980919
2020-12-16,0.551,0.9453339928248569
2020-12-17,0.433,0.8909374488142819
2020-12-18,0.923,0.8943207692046616
2020-12-19,2.194,1.0307129390152403
2020-12-20,0.633,0.9891810606859943
2020-12-21,0.428,0.9308370099158417
2020-12-22,0.604,0.8969911490767881
2020-12-23,0.385,0.8441593654018942
2020-12-24,2.236,0.9873252793692009
2020-12-25,0.498,0.9371364469096783
2020-12-26,0.574,0.8999858589293606
2020-12-27,0.461,0.8551787845293536
2020-12-28,2.716,1.0447196484495325
2020-12-29,0.208,0.9596505769515252
2020-12-30,0.333,0.8960453782600473
2020-12-31,0.463,0.8521570023823383
2021-01-01,0.671,0.8338217834571471
2021-01-02,0.379,0.7878441843584927
2021-01-03,0.353,0.7439339358680992
2021-01-04,0.618,0.7312296598228071
2021-01-05,0.31,0.6887731911801377
2021-01-06,0.41,0.6606973859317886
2021-01-07,0.789,0.6736098049994212
2021-01-08,0.482,0.6543384687942054
2021-01-09,1.555,0.7448712072979362
2021-01-10,0.599,0.7302161104005973
2021-01-11,0.251,0.6820936091920871
2021-01-12,0.29,0.6427363791401716
2021-01-13,2.689,0.8480570107495577
2021-01-14,0.4,0.8031145383732016
2021-01-15,0.791,0.8018997573387605
2021-01-16,1.929,0.9148883022894505
2021-01-17,2.874,1.1112350735052334
2021-01-18,2.783,1.2787460316181294
2021-01-19,3.095,1.4606983987341178
2021-01-20,3.76,1.6910010294402344
2021-01-21,1.842,1.7061229376182585
2021-01-22,2.706,1.8062418016215787
2021-01-23,0.77,1.7024953024219351
2021-01-24,1.995,1.731776843309202
2021-01-25,2.46,1.8046687711302238
2021-01-26,1.802,1.8044016644378091
2021-01-27,2.858,1.9098430626104201
2021-01-28,2.472,1.9660979209034786
2021-01-29,4.179,2.1875268714878073
2021-01-30,1.664,2.1351446449080633
2021-01-31,0.454,1.9669448141613435
2021-02-01,3.042,2.074499461116673
2021-02-02,2.944,2.161485274726558
2021-02-03,2.349,2.1802436876506817
2021-02-04,0.715,2.033670511536974
2021-02-05,4.412,2.2715747580669996
2021-02-06,2.23,2.267416160596713
2021-02-07,1.169,2.157547874071461
2021-02-08,1.905,2.132287567931548
2021-02-09,1.499,2.068946356542824
2021-02-10,2.95,2.157067315156301
2021-02-11,1.995,2.1408580020172305
2021-02-12,2.958,2.2225839164996057
2021-02-13,2.031,2.203423052963973
2021-02-14,1.047,2.0877673193074533
2021-02-15,2.163,2.095291373607851
2021-02-16,1.968,2.082561039008634
2021-02-17,2.82,2.156311177429952
2021-02-18,3.135,2.254187515646839
2021-02-19,2.162,2.244968132004778
2021-02-20,1.846,2.2050688568733157
2021-02-21,0.774,2.0619540235489104
2021-02-22,3.501,2.2058658138992646
2021-02-23,2.238,2.209079377061715
2021-02-24,2.249,2.2130716009758022
2021-02-25,2.352,2.226964947087698
2021-02-26,2.64,2.2682698068417135
2021-02-27,1.489,2.1903405262567572
2021-02-28,2.414,2.2127070677177114
2021-03-01,1.87,2.178435541676234
2021-03-02,1.761,2.136691089387861
2021-03-03,3.684,2.2914249766015313
2021-03-04,1.584,2.220681246095069
2021-03-05,3.342,2.33281488021644
2021-03-06,3.423,2.4418349311018166
2021-03-07,4.539,2.651554102313217
2021-03-08,2.709,2.6572987577652016
2021-03-09,1.475,2.539067665339884
2021-03-10,3.12,2.5971614368348033
2021-03-11,2.669,2.604345353031049
2021-03-12,6.021,2.9460133808270434
2021-03-13,5.442,3.1956137279338668
2021-03-14,4.443,3.3203531131063935
2021-03-15,3.291,3.3174177857431633
2021-03-16,3.505,3.336176099495032
2021-03-17,3.616,3.3641586134994688
2021-03-18,2.446,3.2723423861036127
2021-03-19,4.175,3.3626084713725803
2021-03-20,3.777,3.404047758052974
2021-03-21,5.366,3.600243552455715
2021-03-22,2.84,3.524218998353533
2021-03-23,3.54,3.525797102233226
2021-03-24,2.982,3.4714172767949156
2021-03-25,2.467,3.370975357589008
2021-03-26,3.882,3.4220779095299423
2021-03-27,5.157,3.595570386542734
2021-03-28,2.519,3.4879131982358693
2021-03-29,2.533,3.3924217589452277
2021-03-30,2.863,3.3394795234394175
2021-03-31,3.006,3.306131537301573
2021-04-01,1.107,3.086218183002859
2021-04-02,3.895,3.167096431089947
2021-04-03,3.113,3.161686783984587
2021-04-04,2.257,3.0712180454358964
2021-04-05,4.222,3.186296309753507
2021-04-06,3.807,3.2483667122059994
2021-04-07,2.978,3.221330027880921
2021-04-08,2.246,3.1237969825466467
2021-04-09,0.763,2.8877171916068374
2021-04-10,2.875,2.886445471996803
2021-04-11,1.763,2.7741008890707874
2021-04-12,2.703,2.766990798128757
2021-04-13,3.142,2.8044917279755763
2021-04-14,1.569,2.6809425265359876
2021-04-15,3.118,2.7246482830013425
2021-04-16,2.075,2.659683442502123
2021-04-17,2.845,2.678215101383795
2021-04-18,4.834,2.8937936240352626
2021-04-19,1.995,2.8039142493280163
2021-04-20,2.678,2.7913228228439215
2021-04-21,3.26,2.8381905457563206
2021-04-22,3.537,2.9080714981543805
2021-04-23,1.976,2.8148643399675883
2021-04-24,2.746,2.807977905414178
2021-04-25,1.965,2.7236801087401172
2021-04-26,1.694,2.6207120911242985
2021-04-27,2.64,2.622640882125527
2021-04-28,3.099,2.670276796439324
2021-04-29,4.288,2.832049124516964
2021-04-30,2.12,2.7608442090064473
2021-05-01,1.942,2.678959784939971
2021-05-02,2.407,2.6517638054996633
2021-05-03,3.589,2.7454874278847816
2021-05-04,1.919,2.66283868276687
2021-05-05,4.023,2.7988548179404047
2021-05-06,6.265,3.1454693440594492
2021-05-07,3.565,3.1874224105155005
2021-05-08,1.422,3.0108801661993296
2021-05-09,2.572,2.9669921488489766
2021-05-10,0.876,2.7578929308320808
2021-05-11,1.373,2.6194036358819437
2021-05-12,0.705,2.4279632699710785
2021-05-13,0.593,2.2444669409703106
2021-05-14,0.735,2.0935202453898643
2021-05-15,1.989,2.0830682207584332
