Date,Flights climbed(count),Flights climbed(count) MOVING AVERAGE
2020-11-21,5.0,5.0
2020-11-22,2.0,3.4210526315789473
2020-11-23,8.0,5.11070110701107
2020-11-24,4.0,4.787728990985752
2020-11-25,3.0,4.35117579546287
2020-11-26,4.0,4.276227753602001
2020-11-27,1.0,3.6482407330912925
2020-11-28,3.0,3.534420994443533
2020-11-29,6.0,3.936912256603372
2020-11-30,9.0,4.714268336167817
2020-12-01,2.0,4.318711610764955
2020-12-02,4.0,4.274296235973471
2020-12-03,3.0,4.103436312212142
2020-12-04,4.0,4.090024485149356
2020-12-05,3.0,3.952760625091408
2020-12-06,4.0,3.958559016152099
2020-12-07,11.0,4.803638566686183
2020-12-08,11.0,5.53270343562946
2020-12-09,4.0,5.355494838251004
2020-12-10,5.0,5.315025189976195
2020-12-11,7.0,5.504224688894393
2020-12-12,7.0,5.670141194717623
2020-12-13,11.0,6.254959126667181
2020-12-14,7.0,6.335921276735249
2020-12-15,14.0,7.161604803279357
2020-12-16,9.0,7.358142804129819
2020-12-17,6.0,7.2139433642094835
2020-12-18,9.0,7.402412516250466
2020-12-19,13.0,7.9898398479513295
2020-12-20,8.0,7.990900839830892
2020-12-21,6.0,7.783913776626298
2020-12-22,7.0,7.702734975607581
2020-12-23,5.0,7.423842831047375
2020-12-24,8.0,7.48310684851568
2020-12-25,6.0,7.330988402406213
2020-12-26,5.0,7.092517187352903
2020-12-27,6.0,6.981004486200302
2020-12-28,5.0,6.77922190836722
2020-12-29,4.0,6.4966591316118
2020-12-30,3.0,6.141747308336253
2020-12-31,8.0,6.330077900698627
2021-01-01,9.0,6.600305413630082
2021-01-02,2.0,6.135263927640697
2021-01-03,5.0,6.020625804473833
2021-01-04,9.0,6.321186506887112
2021-01-05,4.0,6.0872300894190365
2021-01-06,6.0,6.078444972772929
2021-01-07,5.0,5.969909900974452
2021-01-08,5.0,5.872360301200564
2021-01-09,10.0,6.287262584179986
2021-01-10,8.0,6.459334463569273
2021-01-11,4.0,6.2123700499640835
2021-01-12,6.0,6.191052954462844
2021-01-13,14.0,6.974597128952064
2021-01-14,5.0,6.776534661914886
2021-01-15,10.0,7.0997665042891756
2021-01-16,7.0,7.089765200298826
2021-01-17,18.0,8.183214531764103
2021-01-18,7.0,8.064656356073408
2021-01-19,5.0,7.75763900712776
2021-01-20,6.0,7.581590381340541
2021-01-21,3.0,7.122763484712602
2021-01-22,4.0,6.810077511203281
2021-01-23,3.0,6.428620014653665
2021-01-24,9.0,6.686031156426947
2021-01-25,11.0,7.117840420769498
2021-01-26,4.0,6.805788168391213
2021-01-27,11.0,7.2255340476602425
2021-01-28,9.0,7.403104267033969
2021-01-29,9.0,7.562893961157093
2021-01-30,8.0,7.606629228271414
2021-01-31,2.0,7.045681608379708
2021-02-01,9.0,7.2412027568917745
2021-02-02,11.0,7.61723706827503
2021-02-03,8.0,7.655527528476889
2021-02-04,2.0,7.0897863896930255
2021-02-05,9.0,7.280865015205576
2021-02-06,8.0,7.352797915542392
2021-02-07,9.0,7.51755811943621
2021-02-08,8.0,7.56581284992073
2021-02-09,5.0,7.309181104185436
