Date,Step count(count),Step count(count) MOVING AVERAGE
2020-11-21,2471.0,2471.0
2020-11-22,2650.515,2565.4815789473687
2020-11-23,5329.485,3585.409040590406
2020-11-24,2885.0,3381.7425559755748
2020-11-25,5157.0,3815.250271055652
2020-11-26,3241.0,3692.6936088091365
2020-11-27,1695.0,3309.77589012793
2020-11-28,829.0,2874.1950186336076
2020-11-29,4508.0,3140.904066525089
2020-11-30,7876.0,3867.902253749524
2020-12-01,1987.0,3593.7939327769345
2020-12-02,2586.0,3453.3486407794535
2020-12-03,1851.0,3238.5028624793235
2020-12-04,1972.0,3074.2847363413903
2020-12-05,850.0,2794.186524844462
2020-12-06,3430.0,2872.2293689282906
2020-12-07,5869.0,3231.887226427779
2020-12-08,1224.0,2995.63889692942
2020-12-09,905.0,2753.9227384492533
2020-12-10,1273.0,2585.334011135887
2020-12-11,1100.0,2418.551428416388
2020-12-12,1501.0,2316.7734903894298
2020-12-13,1911.0,2272.2500570004795
2020-12-14,2055.0,2248.6419136801173
2020-12-15,1948.0,2216.252492266577
2020-12-16,1338.0,2122.3608255673207
2020-12-17,940.0,1996.8248596054855
2020-12-18,2082.0,2005.812752913819
2020-12-19,5067.0,2327.0627667122653
2020-12-20,1418.0,2232.1322766099684
2020-12-21,952.0,2099.0413585954802
2020-12-22,1339.0,2020.3346843985416
2020-12-23,931.0,1907.9274787281345
2020-12-24,5117.0,2238.0154134203963
2020-12-25,1182.0,2129.7026347976503
2020-12-26,1324.0,2047.2754180455158
2020-12-27,1056.0,1946.0964153423545
2020-12-28,5964.0,2355.3549245706995
2020-12-29,468.0,2163.468034717049
2020-12-30,775.0,2022.5381633131717
2020-12-31,1018.0,1920.730014079174
2021-01-01,1510.0,1879.1593067465672
2021-01-02,842.0,1774.3136363291012
2021-01-03,796.0,1675.524239073794
2021-01-04,1378.0,1645.5098506779775
2021-01-05,737.0,1553.9395657101732
2021-01-06,948.0,1492.9141809982152
2021-01-07,1889.0,1532.7763936182828
2021-01-08,1142.0,1493.4736905937561
2021-01-09,3689.0,1714.1637082760144
2021-01-10,1347.0,1677.2762386948434
2021-01-11,567.0,1565.7831805968822
2021-01-12,635.0,1472.353838959083
2021-01-13,6327.0,1959.4655707339805
2021-01-14,913.0,1854.4995756101866
2021-01-15,1897.0,1858.761290577275
2021-01-16,4536.0,2127.146740969069
2021-01-17,6719.0,2587.3530489406935
2021-01-18,6877.0,3017.17596204884
2021-01-19,7368.0,3453.0416209223304
2021-01-20,8314.0,3939.9248996701867
2021-01-21,4120.0,3957.9586592530586
2021-01-22,6161.0,4178.551774833228
2021-01-23,1873.0,3947.724447670622
2021-01-24,4704.0,4023.4323378034387
2021-01-25,5556.0,4176.835604902642
2021-01-26,4210.0,4180.154897359034
2021-01-27,6452.0,4407.515283161316
2021-01-28,5792.0,4546.060209630294
2021-01-29,9592.0,5050.970554759277
2021-01-30,3989.0,4944.713578756638
