,0
2020-11-22,66.064
2020-11-23,61.65
2020-11-24,54.927
2020-11-25,57.506
2020-11-26,39.405
2020-11-27,62.018
2020-11-28,58.506
2020-11-29,57.477
2020-11-30,54.768
2020-12-01,67.707
2020-12-02,53.704
2020-12-03,62.086
2020-12-04,64.604
2020-12-05,64.033
2020-12-06,66.409
2020-12-07,60.383
2020-12-08,56.335
2020-12-09,59.09
2020-12-10,54.388
2020-12-11,57.798
2020-12-12,57.403
2020-12-13,62.258
2020-12-14,70.406
2020-12-15,66.808
2020-12-16,58.075
2020-12-17,54.937
2020-12-18,63.992
2020-12-19,67.023
2020-12-20,55.769
2020-12-21,69.548
2020-12-22,52.996
2020-12-23,58.414
2020-12-24,56.6
2020-12-25,58.105
2020-12-26,59.015
2020-12-27,58.68
2020-12-28,82.93
2020-12-29,63.607
2020-12-30,61.693
2020-12-31,51.765
2021-01-01,52.312
2021-01-02,56.302
2021-01-03,61.39
2021-01-04,53.531
2021-01-05,44.587
2021-01-06,75.529
2021-01-07,58.977
2021-01-08,69.751
2021-01-09,55.695
2021-01-10,57.972
2021-01-11,56.548
2021-01-12,54.508
2021-01-13,68.85
2021-01-14,64.652
2021-01-15,55.865
2021-01-16,64.996
2021-01-17,62.671
2021-01-18,55.019
2021-01-19,66.844
2021-01-20,80.445
2021-01-21,59.434
2021-01-22,64.883
2021-01-23,53.137
2021-01-24,61.453
2021-01-25,0.0
2021-01-26,56.354
2021-01-27,70.139
2021-01-28,61.475
2021-01-29,60.348
2021-01-30,58.633
2021-01-31,58.248
2021-02-01,69.199
2021-02-02,0.0
2021-02-03,62.243
2021-02-04,62.103
2021-02-05,69.912
2021-02-06,72.926
2021-02-07,66.786
2021-02-08,91.028
2021-02-09,60.492
2021-02-10,58.915
2021-02-11,72.827
2021-02-12,56.67
2021-02-13,58.553
2021-02-14,58.385
2021-02-15,57.165
2021-02-16,56.685
2021-02-17,66.424
2021-02-18,77.906
2021-02-19,54.017
2021-02-20,49.053
2021-02-21,62.123
2021-02-22,75.915
2021-02-23,63.765
2021-02-24,56.992
2021-02-25,59.842
2021-02-26,56.85
2021-02-27,58.805
2021-02-28,52.248
2021-03-01,57.885
2021-03-02,54.237
2021-03-03,56.221
2021-03-04,58.474
2021-03-05,63.343
2021-03-06,76.094
2021-03-07,44.114
2021-03-08,76.235
2021-03-09,49.022
2021-03-10,50.945
2021-03-11,65.985
2021-03-12,0.0
2021-03-13,66.661
2021-03-15,54.819
2021-03-16,66.589
2021-03-17,77.943
2021-03-18,73.9
2021-03-19,60.495
2021-03-20,59.429
2021-03-21,65.948
2021-03-22,49.736
2021-03-23,58.115
2021-03-24,65.979
2021-03-25,58.439
2021-03-26,60.735
2021-03-27,67.327
2021-03-28,0.034
2021-03-29,54.558
2021-03-30,62.29
2021-03-31,57.303
2021-04-01,60.596
2021-04-02,72.284
2021-04-03,54.038
2021-04-04,63.992
2021-04-05,59.369
2021-04-06,56.095
2021-04-07,56.487
2021-04-08,76.416
2021-04-09,56.376
2021-04-10,65.573
2021-04-11,58.998
2021-04-12,56.351
2021-04-13,59.786
2021-04-14,59.034
2021-04-15,61.519
2021-04-16,53.954
2021-04-17,55.257
2021-04-18,48.101
2021-04-19,51.906
2021-04-20,55.323
2021-04-21,54.905
2021-04-22,71.456
2021-04-23,65.101
2021-04-24,56.594
2021-04-25,61.269
2021-04-26,59.701
2021-04-27,59.064
2021-04-28,62.086
2021-04-29,59.314
2021-04-30,37.211
2021-05-01,59.273
2021-05-02,69.872
2021-05-03,56.551
2021-05-04,53.337
2021-05-05,59.806
2021-05-06,57.026
2021-05-07,68.564
2021-05-08,63.476
2021-05-09,55.486
2021-05-10,56.095
2021-05-11,68.737
2021-05-12,55.563
2021-05-13,0.0
2021-05-14,59.438
2021-05-15,43.956
2021-05-16,67.09
2021-05-17,48.828
2021-05-18,82.102
2021-05-19,51.863
2021-05-20,60.399
2021-05-21,47.983
2021-05-22,57.325
2021-05-23,57.747
2021-05-24,53.15
2021-05-25,63.905
2021-05-26,56.927
2021-05-27,69.539
2021-05-28,59.943
2021-05-29,0.0
2021-05-31,54.948
2021-06-01,64.314
2021-06-02,54.612
2021-06-03,53.358
2021-06-04,59.001
2021-06-05,66.421
2021-06-06,59.632
2021-06-07,51.299
2021-06-08,55.263
2021-06-09,56.359
2021-06-10,61.498
2021-06-11,0.0
2021-06-12,53.544
2021-06-13,52.89
2021-06-14,61.657
2021-06-15,60.104
2021-06-16,60.803
2021-06-17,53.526
2021-06-18,0.0
2021-06-19,103.379
2021-06-20,68.528
2021-06-21,103.621
2021-06-22,73.911
2021-06-23,60.047
2021-06-24,101.606
2021-06-25,102.079
2021-06-26,54.751
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,98.157
2021-06-30,62.783
2021-07-01,60.868
2021-07-02,107.224
2021-07-03,104.557
2021-07-04,69.354
2021-07-05,58.471
2021-07-06,63.855
2021-07-07,51.758
2021-07-08,52.251
2021-07-09,64.597
2021-07-10,61.157
2021-07-11,56.269
2021-07-12,62.75
2021-07-13,55.869
2021-07-14,57.872
2021-07-15,56.571
2021-07-16,42.909
2021-07-17,63.379
2021-07-18,58.5
2021-07-19,66.048
2021-07-20,64.832
2021-07-21,62.101
2021-07-22,56.848
2021-07-23,59.926
2021-07-24,57.11
2021-07-25,58.76
2021-07-26,63.24
2021-07-27,63.65
2021-07-28,63.099
2021-07-29,44.063
2021-07-30,55.092
2021-07-31,62.198
2021-08-01,62.738
2021-08-02,59.839
2021-08-03,69.918
2021-08-04,52.737
2021-08-05,59.745
2021-08-06,63.886
2021-08-07,66.043
2021-08-08,70.856
2021-08-09,60.347
2021-08-10,74.933
2021-08-11,67.097
2021-08-12,64.892
2021-08-13,61.628
2021-08-14,50.238
2021-08-15,61.849
2021-08-16,103.062
2021-08-17,100.02
2021-08-18,103.033
2021-08-19,45.534
2021-08-20,52.263
2021-08-21,64.391
2021-08-22,61.131
2021-08-23,60.309
2021-08-24,103.457
2021-08-25,103.205
2021-08-26,62.537
2021-08-27,49.804
2021-08-28,58.599
2021-08-29,65.283
2021-08-30,60.418
2021-08-31,71.31
2021-09-01,77.228
2021-09-02,67.922
2021-09-03,57.474
2021-09-04,103.138
2021-09-05,63.128
2021-09-06,66.464
2021-09-07,62.901
2021-09-08,64.156
2021-09-09,69.063
2021-09-10,61.25
2021-09-11,57.618
2021-09-12,102.316
2021-09-13,54.569
2021-09-14,59.866
2021-09-15,0.0
2021-09-16,58.521
2021-09-17,52.305
2021-09-18,69.437
2021-09-19,53.613
2021-09-20,62.927
2021-09-21,54.105
2021-09-22,57.337
2021-09-23,60.316
2021-09-24,73.445
2021-09-25,15.868
2021-09-26,63.835
2021-09-27,57.427
2021-09-28,65.795
2021-09-29,53.265
2021-09-30,73.432
2021-10-01,52.472
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,51.557
2021-10-05,60.086
2021-10-06,62.181
2021-10-07,43.41
2021-10-08,81.242
2021-10-09,73.832
2021-10-10,68.15
2021-10-11,62.736
2021-10-12,61.578
2021-10-13,62.082
2021-10-14,61.083
2021-10-15,53.282
2021-10-16,61.125
2021-10-17,58.935
2021-10-18,59.626
2021-10-19,56.69
2021-10-20,49.723
2021-10-21,65.503
2021-10-22,61.165
2021-10-23,72.397
2021-10-24,66.426
2021-10-25,64.11
2021-10-26,72.132
2021-10-27,75.069
2021-10-28,64.53
2021-10-29,62.211
2021-10-30,58.368
2021-10-31,70.92
2021-11-01,55.132
2021-11-02,55.169
2021-11-03,54.853
2021-11-04,71.195
2021-11-05,60.63
2021-11-06,74.64
2021-11-07,69.931
2021-11-08,66.789
2021-11-09,61.509
2021-11-10,63.047
2021-11-11,66.773
