Date,Headphone sound levels(dBASPL),Headphone sound levels(dBASPL) MOVING AVERAGE
2020-11-22,66.064,66.064
2020-11-23,61.65,63.740842105263155
2020-11-24,54.927,60.48850184501845
2020-11-25,57.506,59.621243384704854
2020-11-26,39.405,54.684552367463546
2020-11-27,62.018,56.24965892448976
2020-11-28,58.506,56.68215416469636
2020-11-29,57.477,56.821715195994244
2020-11-30,54.768,56.48645827683257
2020-12-01,67.707,58.20919285434144
2020-12-02,53.704,57.55264047555648
2020-12-03,62.086,58.18440554322826
2020-12-04,64.604,59.04515627645533
2020-12-05,64.033,59.69189334592068
2020-12-06,66.409,60.53776057213581
2020-12-07,60.383,60.51876450540638
2020-12-08,56.335,60.016649407675736
2020-12-09,59.09,59.907619691408506
2020-12-10,54.388,59.269450531713694
2020-12-11,57.798,59.101940123502956
2020-12-12,57.403,58.911172511935966
2020-12-13,62.258,59.28241404687096
2020-12-14,70.406,60.50294779281649
2020-12-15,66.808,61.18810561603965
2020-12-16,58.075,60.85271761751177
2020-12-17,54.937,60.22028378815038
2020-12-18,63.992,60.62074194588854
2020-12-19,67.023,61.29632418803389
2020-12-20,55.769,60.71627049371495
2020-12-21,69.548,61.63853949557357
2020-12-22,52.996,60.74000460471961
2020-12-23,58.414,60.49913338826034
2020-12-24,56.6,60.096786253823396
2020-12-25,58.105,59.891909422117386
2020-12-26,59.015,59.80196708330023
2020-12-27,58.68,59.68718450723582
2020-12-28,82.93,62.059567448203175
2020-12-29,63.607,62.217186944524094
2020-12-30,61.693,62.163892992667364
2020-12-31,51.765,61.10840261366275
2021-01-01,52.312,60.21690291487538
2021-01-02,56.302,59.82066870327359
2021-01-03,61.39,59.97931124819615
2021-01-04,53.531,59.328165482801104
2021-01-05,44.587,57.84106961597307
2021-01-06,75.529,59.623866824552955
2021-01-07,58.977,59.558719573804474
2021-01-08,69.751,60.584474170261075
2021-01-09,55.695,60.09271071065052
2021-01-10,57.972,59.8795410108718
2021-01-11,56.548,59.54483440744962
2021-01-12,54.508,59.039039496554544
2021-01-13,68.85,60.023835526155715
2021-01-14,64.652,60.488222247042906
2021-01-15,55.865,60.024488764154455
2021-01-16,64.996,60.52300528833133
2021-01-17,62.671,60.73833555608123
2021-01-18,55.019,60.16513032676812
2021-01-19,66.844,60.83435351738741
2021-01-20,80.445,62.79894856318112
2021-01-21,59.434,62.4619086090208
2021-01-22,64.883,62.70437067064461
2021-01-23,53.137,61.74637861433928
2021-01-24,61.453,61.71700612219496
2021-01-26,57.98557355611874,61.34346649648526
2021-01-26,56.354,60.84404289482461
2021-01-27,70.139,61.77433819830062
2021-01-28,61.475,61.74438120511835
2021-01-29,60.348,61.60464580101252
2021-01-30,58.633,61.307294907160426
2021-01-31,58.248,61.00119279907624
2021-02-01,69.199,61.821389792753145
2021-02-03,68.8258092411933,62.522151828812085
2021-02-03,62.243,62.494225165326526
2021-02-04,62.103,62.455088168555726
2021-02-05,69.912,63.20102774184755
2021-02-06,72.926,64.1738165033813
2021-02-07,66.786,64.43510532828455
2021-02-08,91.028,67.0950404932412
2021-02-09,60.492,66.43459215279577
2021-02-10,58.915,65.68248505291551
2021-02-11,72.827,66.39706300244306
2021-02-12,56.67,65.42420175662055
2021-02-13,58.553,64.73698307426302
2021-02-14,58.385,64.10170281123085
2021-02-15,57.165,63.407951981260894
2021-02-16,56.685,62.735586523851595
2021-02-17,66.424,63.104462562822484
2021-02-18,77.906,64.58474159957511
2021-02-19,54.017,63.5278869312317
2021-02-20,49.053,62.08029899203928
2021-02-21,62.123,62.08456935633243
2021-02-22,75.915,63.46768922989169
