Date,Distance walking / running(mi),Flights climbed(count),Step count(count)
2020-11-21,1.023,5.0,2471.0
2020-11-22,1.202,2.0,2650.515
2020-11-23,2.455,8.0,5329.485
2020-11-24,1.165,4.0,2885.0
2020-11-25,2.444,3.0,5157.0
2020-11-26,1.439,4.0,3241.0
2020-11-27,0.788,1.0,1695.0
2020-11-28,0.383,3.0,829.0
2020-11-29,2.036,6.0,4508.0
2020-11-30,3.457,9.0,7876.0
2020-12-01,0.92,2.0,1987.0
2020-12-02,1.151,4.0,2586.0
2020-12-03,0.905,3.0,1851.0
2020-12-04,0.945,4.0,1972.0
2020-12-05,0.399,3.0,850.0
2020-12-06,1.535,4.0,3430.0
2020-12-07,2.605,11.0,5869.0
2020-12-08,0.544,11.0,1224.0
2020-12-09,0.418,4.0,905.0
2020-12-10,0.554,5.0,1273.0
2020-12-11,0.493,7.0,1100.0
2020-12-12,0.662,7.0,1501.0
2020-12-13,0.877,11.0,1911.0
2020-12-14,0.905,7.0,2055.0
2020-12-15,0.842,14.0,1948.0
2020-12-16,0.551,9.0,1338.0
2020-12-17,0.433,6.0,940.0
2020-12-18,0.923,9.0,2082.0
2020-12-19,2.194,13.0,5067.0
2020-12-20,0.633,8.0,1418.0
2020-12-21,0.428,6.0,952.0
2020-12-22,0.604,7.0,1339.0
2020-12-23,0.385,5.0,931.0
2020-12-24,2.236,8.0,5117.0
2020-12-25,0.498,6.0,1182.0
2020-12-26,0.574,5.0,1324.0
2020-12-27,0.461,6.0,1056.0
2020-12-28,2.716,5.0,5964.0
2020-12-29,0.208,4.0,468.0
2020-12-30,0.333,3.0,775.0
2020-12-31,0.463,8.0,1018.0
2021-01-01,0.671,9.0,1510.0
2021-01-02,0.379,2.0,842.0
2021-01-03,0.353,5.0,796.0
2021-01-04,0.618,9.0,1378.0
2021-01-05,0.31,4.0,737.0
2021-01-06,0.41,6.0,948.0
2021-01-07,0.789,5.0,1889.0
2021-01-08,0.482,5.0,1142.0
2021-01-09,1.555,10.0,3689.0
2021-01-10,0.599,8.0,1347.0
2021-01-11,0.251,4.0,567.0
2021-01-12,0.29,6.0,635.0
2021-01-13,2.689,14.0,6327.0
2021-01-14,0.4,5.0,913.0
2021-01-15,0.791,10.0,1897.0
2021-01-16,1.929,7.0,4536.0
2021-01-17,2.874,18.0,6719.0
2021-01-18,2.783,7.0,6877.0
2021-01-19,3.095,5.0,7368.0
2021-01-20,3.76,6.0,8314.0
2021-01-21,1.842,3.0,4120.0
2021-01-22,2.706,4.0,6161.0
2021-01-23,0.77,3.0,1873.0
2021-01-24,1.995,9.0,4704.0
2021-01-25,2.46,11.0,5556.0
2021-01-26,1.802,4.0,4210.0
2021-01-27,2.858,11.0,6452.0
2021-01-28,2.472,9.0,5792.0
2021-01-29,4.179,9.0,9592.0
2021-01-30,1.664,8.0,3989.0
2021-01-31,0.454,2.0,1014.0
2021-02-01,3.042,9.0,6669.0
2021-02-02,2.944,11.0,6536.0
2021-02-03,2.349,8.0,5170.0
2021-02-04,0.715,2.0,1685.0
2021-02-05,4.412,9.0,9345.0
2021-02-06,2.23,8.0,4818.0
2021-02-07,1.169,9.0,2690.0
2021-02-08,1.905,8.0,4172.0
2021-02-09,1.499,5.0,3374.0
2021-02-10,2.95,6.0,6558.0
2021-02-11,1.995,4.0,4349.0
2021-02-12,2.958,5.0,6631.0
2021-02-13,2.031,5.0,4308.0
2021-02-14,1.047,7.0,2413.0
2021-02-15,2.163,7.0,5036.0
2021-02-16,1.968,8.0,4620.0
2021-02-17,2.82,10.0,6189.0
2021-02-18,3.135,8.0,6857.0
2021-02-19,2.162,7.0,5174.829
2021-02-20,1.846,8.0,4320.171
2021-02-21,0.774,1.0,1883.0
2021-02-22,3.501,15.0,7392.0
2021-02-23,2.238,8.0,5244.0
2021-02-24,2.249,7.0,5651.0
2021-02-25,2.352,12.0,5644.0
2021-02-26,2.64,6.0,6217.0
2021-02-27,1.489,7.0,3454.0
2021-02-28,2.414,10.0,5683.0
2021-03-01,1.87,5.0,4300.0
2021-03-02,1.761,9.0,4016.0
2021-03-03,3.684,2.0,8242.0
2021-03-04,1.584,8.0,3711.0
2021-03-05,3.342,11.0,7624.0
2021-03-06,3.423,9.0,8209.67
2021-03-07,4.539,12.0,11262.33
2021-03-08,2.709,10.0,6506.0
2021-03-09,1.475,8.0,3549.0
2021-03-10,3.12,6.0,7217.0
2021-03-11,2.669,4.0,6460.0
2021-03-12,6.021,10.0,14422.0
2021-03-13,5.442,8.0,12343.058
2021-03-14,4.443,12.0,10363.942
2021-03-15,3.291,7.0,7578.0
2021-03-16,3.505,10.0,8371.0
2021-03-17,3.616,9.0,8671.0
2021-03-18,2.446,8.0,5887.0
2021-03-19,4.175,13.0,9628.0
2021-03-20,3.777,18.0,8990.0
2021-03-21,5.366,13.0,12057.0
2021-03-22,2.84,7.0,6359.0
2021-03-23,3.54,8.0,7981.0
2021-03-24,2.982,7.0,6765.0
2021-03-25,2.467,7.0,5710.0
2021-03-26,3.882,10.0,9295.18
2021-03-27,5.157,11.0,11670.82
2021-03-28,2.519,9.0,5674.0
2021-03-29,2.533,8.0,5700.0
2021-03-30,2.863,13.0,6078.0
2021-03-31,3.006,10.0,6998.47
2021-04-01,1.107,5.0,2598.53
2021-04-02,3.895,13.0,8942.0
2021-04-03,3.113,9.0,7016.0
2021-04-04,2.257,7.0,5016.0
2021-04-05,4.222,11.0,9332.0
2021-04-06,3.807,13.0,8635.0
2021-04-07,2.978,9.0,6730.0
2021-04-08,2.246,5.0,5417.0
2021-04-09,0.763,5.0,1897.0
2021-04-10,2.875,7.0,6522.0
2021-04-11,1.763,6.0,4082.0
2021-04-12,2.703,6.0,6323.0
2021-04-13,3.142,10.0,6907.0
2021-04-14,1.569,2.0,3594.0
2021-04-15,3.118,8.0,7061.0
2021-04-16,2.075,7.0,4568.0
2021-04-17,2.845,5.0,6488.0
2021-04-18,4.834,7.0,11059.0
2021-04-19,1.995,10.0,4616.0
2021-04-20,2.678,8.0,6305.0
2021-04-21,3.26,12.0,7554.0
2021-04-22,3.537,7.0,7889.0
2021-04-23,1.976,10.0,4801.0
2021-04-24,2.746,12.0,6307.0
2021-04-25,1.965,8.0,4454.0
2021-04-26,1.694,5.0,3838.0
2021-04-27,2.64,7.0,5979.0
