Date,Time in bed(hr)
2020-11-23,6.531
2020-11-24,4.332
2020-11-25,6.544
2020-11-26,8.158
2020-11-27,5.264
2020-11-28,5.996
2020-11-29,8.543
2020-11-30,6.108
2020-12-01,8.209
2020-12-02,10.006
2020-12-03,7.628
2020-12-04,7.6
2020-12-05,5.634
2020-12-06,8.922
2020-12-08,6.164
2020-12-09,5.673
2020-12-10,8.168
2020-12-12,6.899
2020-12-13,8.29
2020-12-14,7.835
2020-12-16,7.505
2020-12-17,8.397
2020-12-18,6.07
2020-12-19,6.623
2020-12-20,6.262
2020-12-21,8.591
2020-12-23,7.51
2020-12-25,8.727
2020-12-26,6.215
2020-12-27,8.541
2020-12-29,6.977
2020-12-30,5.483
2020-12-31,5.713
2021-01-01,6.639
2021-01-02,5.662
2021-01-03,5.042
2021-01-04,5.779
2021-01-05,5.503
2021-01-06,5.43
2021-01-07,6.235
2021-01-08,8.118
2021-01-09,5.432
2021-01-10,8.393
2021-01-11,9.13
2021-01-12,7.429
2021-01-13,6.961
2021-01-14,8.494
2021-01-15,5.947
2021-01-16,3.936
2021-01-18,7.883
2021-01-19,7.291
2021-01-20,7.653
2021-01-21,7.031
2021-01-23,7.085
2021-01-24,8.063
2021-01-25,7.686
2021-01-27,5.688
2021-01-28,6.589
2021-01-30,6.179
2021-01-31,1.052
2021-02-01,8.012
2021-02-03,2.518
2021-02-04,7.547
2021-02-05,6.681
2021-02-06,6.954
2021-02-07,9.005
2021-02-08,3.981
2021-02-10,6.636
2021-02-11,6.744
2021-02-12,6.664
2021-02-13,4.402
2021-02-14,4.472
2021-02-15,4.649
2021-02-16,7.357
2021-02-17,7.167
2021-02-18,3.101
2021-02-19,5.723
2021-02-20,6.949
2021-02-21,4.92
2021-02-22,7.654
2021-02-23,8.013
2021-02-24,8.004
2021-02-26,7.176
2021-02-27,0.511
2021-02-28,7.708
2021-03-02,6.715
2021-03-03,7.912
2021-03-04,6.862
2021-03-06,5.29
2021-03-07,3.828
2021-03-08,7.69
2021-03-10,4.267
2021-03-11,3.045
2021-03-12,3.869
2021-03-13,4.133
2021-03-14,5.258
2021-03-15,6.757
2021-03-16,8.171
2021-03-17,8.176
2021-03-19,7.342
2021-03-20,7.155
2021-03-22,4.375
2021-03-24,7.952
2021-03-26,6.936
2021-03-27,6.479
2021-03-28,8.047
2021-03-30,7.575
2021-04-01,7.144
2021-04-02,8.011
2021-04-03,1.182
2021-04-04,7.43
2021-04-05,5.978
2021-04-06,3.293
2021-04-07,7.745
2021-04-08,7.731
2021-04-10,6.566
2021-04-11,8.025
2021-04-12,8.332
2021-04-14,8.155
2021-04-16,4.487
2021-04-17,7.557
2021-04-18,7.296
2021-04-19,7.942
2021-04-20,6.677
2021-04-21,7.844
2021-04-24,7.601
2021-04-25,7.682
2021-04-27,7.256
2021-04-28,6.883
2021-04-30,8.005
2021-05-02,8.28
2021-05-03,7.126
2021-05-05,4.138
2021-05-06,1.852
2021-05-07,8.01
2021-05-08,7.272
2021-05-09,7.663
2021-05-10,7.351
2021-05-12,8.014
2021-05-14,4.932
2021-05-15,2.944
2021-05-16,7.039
2021-05-18,7.077
2021-05-20,7.899
2021-05-21,6.279
2021-05-22,7.772
2021-05-24,1.25
2021-05-26,4.688
2021-05-27,7.651
2021-05-29,1.056
2021-05-30,1.848
2021-05-31,5.686
2021-06-01,5.654
2021-06-02,8.455
2021-06-04,7.82
2021-06-05,7.012
2021-06-06,6.854
2021-06-07,3.27
2021-06-08,6.722
2021-06-09,6.524
2021-06-10,1.041
2021-06-11,7.455
2021-06-12,7.881
2021-06-13,7.824
2021-06-14,7.925
2021-06-16,6.918
2021-06-17,6.789
