Date,Time in bed(hr),Time in bed(hr) MOVING AVERAGE
2020-11-23,6.531,6.531
2020-11-24,4.332,5.373631578947368
2020-11-25,6.544,5.8055018450184495
2020-11-26,8.158,6.4895664437336436
2020-11-27,5.264,6.190290127225219
2020-11-28,5.996,6.148824670959259
2020-11-29,8.543,6.607739967617595
2020-11-30,6.108,6.519994366944174
2020-12-01,8.209,6.7957145963554755
2020-12-02,10.006,7.288602533941544
2020-12-03,7.628,7.338063727035539
2020-12-04,7.6,7.3745669397904114
2020-12-05,5.634,7.141188604173738
2020-12-06,8.922,7.372093341218848
2020-12-08,6.164,7.219961386767127
2020-12-09,5.673,7.030079808240285
2020-12-10,8.168,7.16664746341226
2020-12-12,6.899,7.135156020420159
2020-12-13,8.29,7.268677142024649
2020-12-14,7.835,7.333147520793031
2020-12-16,7.505,7.352444190844348
2020-12-17,8.397,7.468309888523474
2020-12-18,6.07,7.314880552567999
2020-12-19,6.623,7.239695231693443
2020-12-20,6.262,7.134364000642868
2020-12-21,8.591,7.290089128619237
2020-12-23,7.51,7.313437943183562
2020-12-25,8.727,7.4626005379562566
2020-12-26,6.215,7.331673659695251
2020-12-27,8.541,7.457959705480562
2020-12-29,6.977,7.407955991098874
2020-12-30,5.483,7.208615675836503
2020-12-31,5.713,7.054284797287032
2021-01-01,6.639,7.011568249082868
2021-01-02,5.662,6.873146512864319
2021-01-03,5.042,6.685811503641357
2021-01-04,5.779,6.593253691848658
2021-01-05,5.503,6.4822018482179455
2021-01-06,5.43,6.375224756880061
2021-01-07,6.235,6.360991907105616
2021-01-08,8.118,6.539061540156448
2021-01-09,5.432,6.427013893995977
2021-01-10,8.393,6.6257539814392485
2021-01-11,9.13,6.878630917388854
2021-01-12,7.429,6.934152415260639
2021-01-13,6.961,6.936858429932298
2021-01-14,8.494,7.0936812696044225
2021-01-15,5.947,6.978278873498405
2021-01-16,3.936,6.6722988167816295
2021-01-18,7.883,6.793996135728653
2021-01-19,7.291,6.843928126586671
2021-01-20,7.653,6.9251744815423875
2021-01-21,7.031,6.935796943060906
2021-01-23,7.085,6.950767871330604
2021-01-24,8.063,7.062330597768469
2021-01-25,7.686,7.124868825660667
2021-01-27,5.688,6.980826874686478
2021-01-28,6.589,6.941557065920511
