Date,Distance walking / running(mi),Flights climbed(count),Step count(count)
2020-11-21,1.023,5.000,2471.000
2020-11-22,1.202,2.000,2650.515
2020-11-23,2.455,8.000,5329.485
2020-11-24,1.165,4.000,2885.000
2020-11-25,2.444,3.000,5157.000
2020-11-26,1.439,4.000,3241.000
2020-11-27,0.788,1.000,1695.000
2020-11-28,0.383,3.000,829.000
2020-11-29,2.036,6.000,4508.000
2020-11-30,3.457,9.000,7876.000
2020-12-01,0.920,2.000,1987.000
2020-12-02,1.151,4.000,2586.000
2020-12-03,0.905,3.000,1851.000
2020-12-04,0.945,4.000,1972.000
2020-12-05,0.399,3.000,850.000
2020-12-06,1.535,4.000,3430.000
2020-12-07,2.605,11.000,5869.000
2020-12-08,0.544,11.000,1224.000
2020-12-09,0.418,4.000,905.000
2020-12-10,0.554,5.000,1273.000
2020-12-11,0.493,7.000,1100.000
2020-12-12,0.662,7.000,1501.000
2020-12-13,0.877,11.000,1911.000
2020-12-14,0.905,7.000,2055.000
2020-12-15,0.842,14.000,1948.000
2020-12-16,0.551,9.000,1338.000
2020-12-17,0.433,6.000,940.000
2020-12-18,0.923,9.000,2082.000
2020-12-19,2.194,13.000,5067.000
2020-12-20,0.633,8.000,1418.000
2020-12-21,0.428,6.000,952.000
2020-12-22,0.604,7.000,1339.000
2020-12-23,0.385,5.000,931.000
2020-12-24,2.236,8.000,5117.000
2020-12-25,0.498,6.000,1182.000
2020-12-26,0.574,5.000,1324.000
2020-12-27,0.461,6.000,1056.000
2020-12-28,2.716,5.000,5964.000
2020-12-29,0.208,4.000,468.000
2020-12-30,0.333,3.000,775.000
2020-12-31,0.463,8.000,1018.000
2021-01-01,0.671,9.000,1510.000
2021-01-02,0.379,2.000,842.000
2021-01-03,0.353,5.000,796.000
2021-01-04,0.618,9.000,1378.000
2021-01-05,0.310,4.000,737.000
2021-01-06,0.410,6.000,948.000
2021-01-07,0.789,5.000,1889.000
2021-01-08,0.482,5.000,1142.000
2021-01-09,1.555,10.000,3689.000
2021-01-10,0.599,8.000,1347.000
2021-01-11,0.251,4.000,567.000
2021-01-12,0.290,6.000,635.000
2021-01-13,2.689,14.000,6327.000
2021-01-14,0.400,5.000,913.000
2021-01-15,0.791,10.000,1897.000
2021-01-16,1.929,7.000,4536.000
2021-01-17,2.874,18.000,6719.000
2021-01-18,2.783,7.000,6877.000
2021-01-19,3.095,5.000,7368.000
2021-01-20,3.760,6.000,8314.000
2021-01-21,1.842,3.000,4120.000
2021-01-22,2.706,4.000,6161.000
2021-01-23,0.770,3.000,1873.000
2021-01-24,1.995,9.000,4704.000
2021-01-25,2.460,11.000,5556.000
2021-01-26,1.802,4.000,4210.000
2021-01-27,2.858,11.000,6452.000
2021-01-28,2.472,9.000,5792.000
2021-01-29,4.179,9.000,9592.000
2021-01-30,1.664,8.000,3989.000
2021-01-31,0.454,2.000,1014.000
2021-02-01,3.042,9.000,6669.000
2021-02-02,2.944,11.000,6536.000
2021-02-03,2.349,8.000,5170.000
2021-02-04,0.715,2.000,1685.000
2021-02-05,4.412,9.000,9345.000
2021-02-06,2.230,8.000,4818.000
2021-02-07,1.169,9.000,2690.000
2021-02-08,1.905,8.000,4172.000
2021-02-09,1.499,5.000,3374.000
2021-02-10,2.950,6.000,6558.000
2021-02-11,1.995,4.000,4349.000
2021-02-12,2.958,5.000,6631.000
2021-02-13,2.031,5.000,4308.000
2021-02-14,1.047,7.000,2413.000
2021-02-15,2.163,7.000,5036.000
2021-02-16,1.968,8.000,4620.000
2021-02-17,2.820,10.000,6189.000
2021-02-18,3.135,8.000,6857.000
2021-02-19,2.162,7.000,5174.829
2021-02-20,1.846,8.000,4320.171
2021-02-21,0.774,1.000,1883.000
