,0
2020-11-21 00:46:57,55.523
2020-11-21 00:47:48,51.612
2020-11-21 00:48:03,56.874
2020-11-21 11:47:18,57.44
2020-11-21 13:56:45,58.108
2020-11-21 13:58:31,59.159
2020-11-22 07:01:18,66.064
2020-11-22 07:02:56,71.066
2020-11-22 07:03:14,74.32
2020-11-22 07:03:47,68.337
2020-11-22 07:03:56,71.829
2020-11-22 14:32:34,66.048
2020-11-22 17:59:34,70.128
2020-11-22 18:01:37,68.645
2020-11-22 18:05:02,68.856
2020-11-22 18:06:17,70.011
2020-11-22 18:07:50,68.665
2020-11-23 08:13:30,61.65
2020-11-23 08:13:51,49.075
2020-11-23 08:13:54,68.015
2020-11-23 08:17:33,68.994
2020-11-23 08:17:42,67.626
2020-11-23 08:18:58,70.223
2020-11-23 08:22:31,72.791
2020-11-23 08:23:13,67.182
2020-11-23 08:30:31,69.465
2020-11-23 08:31:22,62.08
2020-11-23 08:35:21,56.975
2020-11-23 08:39:00,53.433
2020-11-23 08:39:06,55.935
2020-11-23 09:09:03,55.385
2020-11-23 10:02:28,62.571
2020-11-23 10:13:54,68.315
2020-11-23 10:14:12,67.07
2020-11-23 10:39:08,62.862
2020-11-23 10:39:38,62.719
2020-11-23 10:39:41,63.951
2020-11-23 11:48:18,67.064
2020-11-23 11:49:39,64.046
2020-11-23 11:49:42,67.517
2020-11-23 11:53:47,59.238
2020-11-23 12:02:32,68.876
2020-11-23 12:30:08,65.449
2020-11-23 12:35:27,65.849
2020-11-23 12:35:42,67.416
2020-11-23 12:38:30,62.315
2020-11-23 12:38:42,58.629
2020-11-23 12:38:49,68.196
2020-11-23 12:38:54,68.799
2020-11-23 12:39:07,68.287
2020-11-23 12:40:02,67.021
2020-11-23 12:40:14,68.237
2020-11-23 12:44:48,70.017
2020-11-23 12:45:14,67.559
2020-11-23 12:45:19,67.003
2020-11-23 14:03:29,43.016
2020-11-23 14:03:47,43.214
2020-11-23 14:03:52,63.485
2020-11-23 14:04:09,61.317
2020-11-23 14:07:31,53.561
2020-11-23 15:27:35,39.126
2020-11-23 15:28:24,62.863
2020-11-23 15:28:27,66.655
2020-11-23 15:29:11,55.26
2020-11-23 15:50:26,57.124
2020-11-23 15:53:52,60.317
2020-11-23 15:54:13,59.714
2020-11-23 15:54:34,50.935
2020-11-23 15:55:07,41.048
2020-11-23 15:55:19,47.338
2020-11-23 15:57:05,48.879
2020-11-23 15:58:32,57.253
2020-11-23 16:06:24,57.8
2020-11-23 16:06:55,57.798
2020-11-23 19:54:40,70.239
2020-11-23 19:55:05,67.434
2020-11-23 20:57:55,67.812
2020-11-23 20:58:52,69.306
2020-11-23 20:59:04,68.821
2020-11-23 20:59:07,68.195
2020-11-23 20:59:10,67.596
2020-11-23 20:59:28,69.708
2020-11-23 20:59:35,69.776
2020-11-23 20:59:47,69.562
2020-11-23 20:59:50,68.47
2020-11-23 20:59:53,68.596
2020-11-23 21:00:01,67.488
2020-11-23 21:00:11,67.006
2020-11-23 21:00:20,69.157
2020-11-23 21:00:26,68.795
2020-11-23 21:00:34,68.91
