,0
2020-11-21 01:22:35,6.314
2020-11-23 01:37:06,6.531
2020-11-24 03:11:00,4.332
2020-11-25 01:00:31,6.544
2020-11-26 00:48:07,8.158
2020-11-27 03:15:21,5.264
2020-11-28 02:45:51,5.996
2020-11-29 03:38:52,8.543
2020-11-30 01:35:13,6.108
2020-12-01 01:03:27,8.209
2020-12-02 00:00:38,10.006
2020-12-03 01:21:02,7.628
2020-12-04 01:13:55,7.6
2020-12-05 02:00:52,5.634
2020-12-06 02:28:00,5.154
2020-12-06 23:35:01,8.922
2020-12-08 02:48:35,6.164
2020-12-09 03:14:41,5.673
2020-12-10 23:30:00,8.168
2020-12-12 01:01:55,6.899
2020-12-13 00:21:17,7.182
2020-12-13 23:30:00,8.29
2020-12-14 23:43:20,7.835
2020-12-16 01:00:10,7.505
2020-12-17 00:22:43,8.397
2020-12-18 01:35:46,6.07
2020-12-19 01:14:54,6.623
2020-12-20 01:01:19,6.262
2020-12-21 00:07:31,8.591
2020-12-23 06:49:40,3.734
2020-12-23 23:55:03,7.51
2020-12-25 00:59:55,8.727
2020-12-26 01:17:49,6.215
2020-12-27 01:27:54,8.541
2020-12-29 00:36:30,6.977
2020-12-30 02:06:53,5.483
2020-12-31 01:53:51,5.713
2021-01-01 02:02:36,6.639
2021-01-02 01:51:58,5.662
2021-01-03 02:33:45,5.042
2021-01-04 01:52:20,5.779
2021-01-05 02:14:03,5.503
2021-01-06 03:11:26,5.43
2021-01-07 02:51:24,6.235
2021-01-08 00:24:18,8.118
2021-01-09 02:06:30,5.432
2021-01-10 02:51:57,8.393
2021-01-11 01:22:45,9.13
2021-01-12 01:37:10,7.429
2021-01-13 01:12:10,6.961
2021-01-14 00:26:08,8.494
2021-01-15 01:44:28,5.947
2021-01-16 03:38:44,3.936
2021-01-18 01:03:03,6.461
2021-01-18 23:30:00,7.883
2021-01-19 23:30:00,7.291
2021-01-20 23:51:50,7.653
2021-01-21 23:30:00,7.031
2021-01-23 00:22:47,7.085
2021-01-24 01:28:24,6.045
2021-01-24 23:30:00,8.063
2021-01-25 23:52:41,7.686
2021-01-27 02:02:14,5.688
2021-01-28 04:53:56,2.707
2021-01-28 23:30:00,6.589
2021-01-30 03:08:00,6.179
2021-01-31 07:35:44,1.052
2021-02-01 04:47:30,2.155
2021-02-01 06:57:06,0.582
2021-02-01 23:30:00,8.012
2021-02-03 02:12:39,2.814
2021-02-03 05:01:34,2.518
2021-02-04 00:47:15,7.547
2021-02-05 00:50:21,6.681
2021-02-06 00:36:49,6.954
2021-02-07 03:00:20,4.495
2021-02-07 23:30:00,9.005
2021-02-08 23:30:00,3.981
2021-02-10 00:28:43,6.636
2021-02-11 00:47:50,6.744
2021-02-12 01:03:41,6.664
2021-02-13 03:18:09,4.402
2021-02-14 03:03:54,4.472
2021-02-15 02:51:55,4.649
2021-02-16 00:18:15,7.357
2021-02-17 00:31:42,7.167
2021-02-18 04:25:16,3.101
2021-02-19 01:48:16,5.723
2021-02-20 00:25:37,6.949
2021-02-21 02:39:36,4.92
2021-02-22 02:33:18,4.977
2021-02-22 23:52:21,7.654
2021-02-23 23:30:00,8.013
2021-02-24 23:30:00,8.004
2021-02-26 00:20:21,7.176
2021-02-27 02:15:51,4.734
2021-02-27 06:59:54,0.511
2021-02-28 00:27:45,7.047
2021-02-28 23:48:34,7.708
2021-03-02 00:07:13,6.715
2021-03-03 01:23:17,5.584
2021-03-03 23:35:52,7.912
2021-03-04 23:51:42,6.862
2021-03-06 02:15:44,5.29
2021-03-07 04:10:51,3.828
2021-03-08 23:49:30,7.69
2021-03-10 02:57:29,4.267
2021-03-11 02:53:15,1.566
2021-03-11 04:27:31,3.045
2021-03-12 23:30:00,3.869
2021-03-13 03:22:19,4.133
2021-03-14 04:56:04,5.258
2021-03-15 00:54:12,6.757
2021-03-16 01:33:19,8.171
2021-03-17 00:57:57,6.587
2021-03-17 23:30:00,8.176
2021-03-19 00:21:49,7.342
2021-03-20 02:26:36,7.155
2021-03-22 01:18:05,0.679
2021-03-22 01:58:53,0.843
2021-03-22 03:00:11,4.375
2021-03-24 00:45:37,6.811
2021-03-24 23:57:50,7.952
2021-03-26 00:39:32,6.936
2021-03-27 01:02:00,6.479
2021-03-28 08:01:19,1.697
2021-03-28 23:30:00,8.047
2021-03-30 00:06:06,7.426
2021-03-30 23:51:02,7.575
2021-04-01 00:26:12,7.144
2021-04-02 01:00:47,8.011
2021-04-03 06:19:52,1.182
2021-04-04 00:24:42,7.43
2021-04-05 01:32:32,5.978
2021-04-06 04:23:56,3.293
2021-04-07 00:51:20,6.726
2021-04-07 23:57:14,7.745
2021-04-08 23:51:54,7.731
2021-04-10 00:57:18,6.566
2021-04-11 01:40:27,6.482
2021-04-11 23:30:00,8.025
2021-04-12 23:30:00,8.332
2021-04-14 01:57:42,5.752
2021-04-14 23:30:00,8.155
2021-04-16 03:01:35,4.487
2021-04-17 01:26:27,7.557
2021-04-18 00:48:19,6.759
2021-04-18 23:30:00,7.296
2021-04-19 23:33:44,7.942
2021-04-20 23:00:00,6.677
2021-04-21 23:30:00,7.844
2021-04-24 00:29:12,7.041
2021-04-24 23:45:28,7.601
2021-04-25 23:38:48,7.682
2021-04-27 00:14:11,7.051
2021-04-27 23:30:00,7.256
2021-04-28 23:30:00,6.883
2021-04-30 00:30:14,6.825
2021-04-30 23:30:00,8.005
2021-05-02 01:58:46,5.864
2021-05-02 23:30:00,8.28
2021-05-03 23:30:00,7.126
2021-05-05 03:00:02,2.234
2021-05-05 05:14:18,1.272
2021-05-05 23:30:00,4.138
2021-05-06 03:38:32,3.866
2021-05-06 23:44:31,1.852
2021-05-07 01:35:52,2.147
2021-05-07 03:44:55,1.311
2021-05-07 23:30:00,8.01
2021-05-08 23:30:00,7.272
2021-05-09 23:31:19,7.663
2021-05-10 23:30:00,7.351
2021-05-12 00:42:22,6.298
2021-05-12 23:30:00,8.014
2021-05-14 02:50:05,4.668
2021-05-14 23:30:00,4.932
2021-05-15 04:33:22,2.944
2021-05-16 23:30:00,7.039
2021-05-18 01:52:54,6.799
2021-05-18 23:59:46,7.077
2021-05-20 00:02:01,7.899
2021-05-21 00:33:50,6.279
2021-05-22 03:44:45,4.182
2021-05-22 23:30:00,7.772
2021-05-24 06:45:14,1.25
2021-05-26 05:49:38,4.688
2021-05-27 00:23:15,7.811
2021-05-27 23:39:14,7.651
2021-05-29 06:52:53,1.056
2021-05-30 06:11:51,1.848
2021-05-31 02:04:38,5.686
2021-06-01 02:18:35,5.654
2021-06-02 00:48:31,7.186
2021-06-02 23:41:36,8.455
2021-06-04 00:07:34,7.82
2021-06-05 00:54:35,7.012
2021-06-06 01:05:21,6.854
2021-06-07 04:51:59,3.27
2021-06-08 00:51:39,6.722
2021-06-09 00:44:12,6.524
2021-06-10 00:07:13,6.464
2021-06-10 06:35:50,1.072
2021-06-10 07:40:16,1.041
2021-06-11 00:23:28,7.455
2021-06-12 00:03:02,7.881
2021-06-13 23:30:00,7.824
2021-06-14 07:21:27,0.576
2021-06-14 23:30:00,7.925
2021-06-16 01:00:19,6.918
2021-06-17 00:34:33,6.789
2021-06-18 03:18:54,4.717
2021-06-19 01:15:15,6.735
2021-06-19 23:30:00,7.867
2021-06-21 01:56:13,5.137
2021-06-21 07:07:20,1.143
2021-06-21 23:38:25,8.297
2021-06-22 23:37:28,8.373
2021-06-24 03:43:33,4.203
2021-06-25 02:45:50,5.173
2021-06-25 23:30:00,5.216
2021-06-26 04:46:05,2.862
2021-06-26 23:30:00,7.607
2021-06-28 07:21:22,0.57
2021-06-29 04:20:23,3.387
2021-07-01 07:46:54,0.641
2021-07-04 08:29:49,0.504
2021-07-04 23:30:00,8.292
2021-07-08 23:41:43,7.55
2021-07-12 02:02:30,5.045
2021-07-13 02:12:04,5.601
2021-07-14 23:30:00,8.375
2021-07-16 03:22:27,3.853
2021-07-17 01:45:10,6.671
2021-07-19 00:26:42,7.588
2021-07-20 05:18:32,1.535
2021-07-20 23:46:35,7.122
2021-07-21 23:30:00,7.058
2021-07-23 05:57:42,3.459
2021-07-24 01:11:07,5.431
2021-07-25 03:55:13,5.081
2021-07-26 02:14:33,6.623
2021-07-26 23:30:00,8.039
2021-07-28 00:45:13,3.413
2021-07-28 04:23:47,2.116
2021-07-28 23:30:00,8.582
2021-07-30 01:06:03,4.192
2021-07-30 05:21:44,1.319
2021-07-30 23:51:42,6.683
2021-08-01 00:02:20,6.864
2021-08-02 00:02:17,6.358
2021-08-03 03:43:40,1.517
2021-08-03 05:26:52,1.12
2021-08-04 05:40:39,0.858
2021-08-04 23:59:46,2.484
2021-08-05 02:30:36,4.08
2021-08-06 03:33:32,2.715
2021-08-07 02:24:50,4.205
2021-08-08 00:01:48,6.499
2021-08-09 05:24:45,1.114
2021-08-10 02:36:10,2.623
2021-08-10 05:13:50,2.244
2021-08-11 04:26:50,2.079
2021-08-12 23:43:29,5.515
2021-08-13 05:19:51,1.194
2021-08-14 02:04:27,3.571
2021-08-14 05:38:47,0.942
2021-08-15 03:35:16,4.285
2021-08-15 23:30:00,4.87
2021-08-17 01:43:04,4.946
2021-08-18 00:40:56,7.48
2021-08-18 23:30:00,6.911
2021-08-19 23:30:00,7.773
2021-08-21 05:34:06,1.398
2021-08-21 23:30:00,7.059
2021-08-23 03:27:37,3.514
2021-08-24 00:50:12,4.646
2021-08-24 23:30:00,7.158
2021-08-26 04:23:32,2.628
2021-08-27 01:51:47,4.671
2021-08-27 23:50:32,4.424
2021-08-28 04:17:30,2.231
2021-08-29 04:03:43,2.468
2021-08-30 07:30:37,0.574
2021-08-31 23:30:00,6.801
2021-09-01 23:30:00,6.473
2021-09-02 23:30:00,7.002
2021-09-03 23:30:00,6.272
2021-09-04 05:47:02,0.716
2021-09-05 00:47:22,5.754
2021-09-05 23:30:00,7.01
2021-09-07 00:00:00,7.266
2021-09-08 00:00:00,7.013
2021-09-09 00:00:00,6.232
2021-09-10 04:56:30,2.276
2021-09-11 01:29:32,5.515
2021-09-12 01:47:01,5.229
2021-09-13 00:00:00,7.009
2021-09-14 00:32:19,6.182
2021-09-15 04:43:15,2.29
2021-09-16 04:50:14,2.085
2021-09-17 00:00:00,7.042
2021-09-18 00:00:00,6.067
2021-09-19 00:23:26,6.616
2021-09-20 00:00:00,7.328
2021-09-21 00:00:00,7.006
2021-09-22 00:00:00,7.116
2021-09-23 00:00:00,7.189
2021-09-24 00:00:00,7.231
2021-09-25 00:00:00,7.0
2021-09-26 00:00:00,6.516
2021-09-27 00:03:07,5.491
2021-09-27 06:47:09,0.881
2021-09-28 00:00:00,7.158
