Date,Headphone sound levels(dBASPL)
2020-11-21 00:46:57 - 2020-11-21 00:47:48,55.523
2020-11-21 00:47:48 - 2020-11-21 00:48:03,51.612
2020-11-21 00:48:03 - 2020-11-21 01:01:36,56.874
2020-11-21 11:47:18 - 2020-11-21 11:58:02,57.440
2020-11-21 13:56:45 - 2020-11-21 13:58:10,58.108
2020-11-21 13:58:31 - 2020-11-21 14:03:28,59.159
2020-11-22 07:01:18 - 2020-11-22 07:02:56,66.064
2020-11-22 07:02:56 - 2020-11-22 07:03:14,71.066
2020-11-22 07:03:14 - 2020-11-22 07:03:47,74.320
2020-11-22 07:03:47 - 2020-11-22 07:03:56,68.337
2020-11-22 07:03:56 - 2020-11-22 07:05:35,71.829
2020-11-22 14:32:34 - 2020-11-22 14:33:55,66.048
2020-11-22 17:59:34 - 2020-11-22 17:59:55,70.128
2020-11-22 18:01:37 - 2020-11-22 18:01:54,68.645
2020-11-22 18:05:02 - 2020-11-22 18:05:44,68.856
2020-11-22 18:06:17 - 2020-11-22 18:06:47,70.011
2020-11-22 18:07:50 - 2020-11-22 18:08:05,68.665
2020-11-23 08:13:30 - 2020-11-23 08:13:51,61.650
2020-11-23 08:13:51 - 2020-11-23 08:13:54,49.075
2020-11-23 08:13:54 - 2020-11-23 08:17:31,68.015
2020-11-23 08:17:33 - 2020-11-23 08:17:42,68.994
2020-11-23 08:17:42 - 2020-11-23 08:18:58,67.626
2020-11-23 08:18:58 - 2020-11-23 08:22:31,70.223
2020-11-23 08:22:31 - 2020-11-23 08:23:13,72.791
2020-11-23 08:23:13 - 2020-11-23 08:29:27,67.182
2020-11-23 08:30:31 - 2020-11-23 08:31:22,69.465
2020-11-23 08:31:22 - 2020-11-23 08:35:12,62.080
2020-11-23 08:35:21 - 2020-11-23 08:39:00,56.975
2020-11-23 08:39:00 - 2020-11-23 08:39:03,53.433
2020-11-23 08:39:06 - 2020-11-23 09:09:03,55.935
2020-11-23 09:09:03 - 2020-11-23 09:17:38,55.385
2020-11-23 10:02:28 - 2020-11-23 10:13:54,62.571
2020-11-23 10:13:54 - 2020-11-23 10:14:12,68.315
2020-11-23 10:14:12 - 2020-11-23 10:14:15,67.070
2020-11-23 10:39:08 - 2020-11-23 10:39:38,62.862
2020-11-23 10:39:38 - 2020-11-23 10:39:41,62.719
2020-11-23 10:39:41 - 2020-11-23 10:47:27,63.951
2020-11-23 11:48:18 - 2020-11-23 11:49:39,67.064
2020-11-23 11:49:39 - 2020-11-23 11:49:42,64.046
2020-11-23 11:49:42 - 2020-11-23 11:51:30,67.517
2020-11-23 11:53:47 - 2020-11-23 12:02:04,59.238
2020-11-23 12:02:32 - 2020-11-23 12:30:08,68.876
2020-11-23 12:30:08 - 2020-11-23 12:35:27,65.449
2020-11-23 12:35:27 - 2020-11-23 12:35:42,65.849
2020-11-23 12:35:42 - 2020-11-23 12:38:30,67.416
2020-11-23 12:38:30 - 2020-11-23 12:38:42,62.315
2020-11-23 12:38:42 - 2020-11-23 12:38:48,58.629
2020-11-23 12:38:49 - 2020-11-23 12:38:55,68.196
2020-11-23 12:38:54 - 2020-11-23 12:39:07,68.799
2020-11-23 12:39:07 - 2020-11-23 12:39:58,68.287
2020-11-23 12:40:02 - 2020-11-23 12:40:14,67.021
2020-11-23 12:40:14 - 2020-11-23 12:44:15,68.237
2020-11-23 12:44:48 - 2020-11-23 12:45:03,70.017
2020-11-23 12:45:14 - 2020-11-23 12:45:17,67.559
2020-11-23 12:45:19 - 2020-11-23 13:12:31,67.003
2020-11-23 14:03:29 - 2020-11-23 14:03:47,43.016
2020-11-23 14:03:47 - 2020-11-23 14:03:50,43.214
2020-11-23 14:03:52 - 2020-11-23 14:03:55,63.485
2020-11-23 14:04:09 - 2020-11-23 14:07:01,61.317
2020-11-23 14:07:31 - 2020-11-23 14:08:50,53.561
2020-11-23 15:27:35 - 2020-11-23 15:28:11,39.126
2020-11-23 15:28:24 - 2020-11-23 15:28:27,62.863
2020-11-23 15:28:27 - 2020-11-23 15:29:07,66.655
2020-11-23 15:29:11 - 2020-11-23 15:46:29,55.260
2020-11-23 15:50:26 - 2020-11-23 15:50:32,57.124
2020-11-23 15:53:52 - 2020-11-23 15:54:13,60.317
2020-11-23 15:54:13 - 2020-11-23 15:54:34,59.714
2020-11-23 15:54:34 - 2020-11-23 15:55:07,50.935
2020-11-23 15:55:07 - 2020-11-23 15:55:19,41.048
2020-11-23 15:55:19 - 2020-11-23 15:57:05,47.338
