Date,Time in bed(hr)
2020-11-21 01:22:35 - 2020-11-21 07:41:23,6.314
2020-11-22 07:24:09 - 2020-11-22 07:24:12,0.001
2020-11-23 01:37:06 - 2020-11-23 08:08:59,6.531
2020-11-23 08:11:34 - 2020-11-23 08:13:22,0.030
2020-11-24 03:11:00 - 2020-11-24 07:30:56,4.332
2020-11-25 01:00:31 - 2020-11-25 07:33:10,6.544
2020-11-26 00:48:07 - 2020-11-26 08:57:36,8.158
2020-11-27 03:15:21 - 2020-11-27 08:31:12,5.264
2020-11-28 02:45:51 - 2020-11-28 08:45:37,5.996
2020-11-28 08:45:45 - 2020-11-28 08:46:10,0.007
2020-11-29 03:38:52 - 2020-11-29 12:11:27,8.543
2020-11-30 01:35:13 - 2020-11-30 07:41:40,6.108
2020-11-30 07:41:42 - 2020-11-30 07:41:49,0.002
2020-11-30 07:41:51 - 2020-11-30 08:01:07,0.321
2020-12-01 01:03:27 - 2020-12-01 09:15:58,8.209
2020-12-01 09:16:31 - 2020-12-01 09:16:32,0.000
2020-12-01 09:16:33 - 2020-12-01 09:17:25,0.014
2020-12-01 09:17:27 - 2020-12-01 09:17:29,0.001
2020-12-02 00:00:38 - 2020-12-02 10:00:59,10.006
2020-12-03 01:21:02 - 2020-12-03 08:58:41,7.628
2020-12-04 01:13:55 - 2020-12-04 08:49:56,7.600
2020-12-05 02:00:52 - 2020-12-05 07:38:53,5.634
2020-12-06 02:28:00 - 2020-12-06 07:37:13,5.154
2020-12-06 23:35:01 - 2020-12-07 08:30:20,8.922
2020-12-08 02:48:35 - 2020-12-08 08:58:24,6.164
2020-12-08 09:04:18 - 2020-12-08 09:04:27,0.002
2020-12-08 09:04:41 - 2020-12-08 09:05:20,0.011
2020-12-09 03:14:41 - 2020-12-09 08:55:03,5.673
2020-12-10 07:46:11 - 2020-12-10 07:48:47,0.043
2020-12-10 23:30:00 - 2020-12-11 07:40:04,8.168
2020-12-12 01:01:55 - 2020-12-12 07:55:49,6.899
2020-12-13 00:21:17 - 2020-12-13 07:32:13,7.182
2020-12-13 23:30:00 - 2020-12-14 07:47:23,8.290
2020-12-14 07:47:25 - 2020-12-14 07:47:27,0.001
2020-12-14 23:43:20 - 2020-12-15 07:33:25,7.835
2020-12-16 01:00:10 - 2020-12-16 08:30:26,7.505
